Backscattered Energy
Energy (KeV)	Hits (Normalized)
8.05611	0.00212183
8.11623	0.000972505
8.17635	0.00167978
8.23647	0.00132614
8.29659	0.00141455
8.35671	0.00176819
8.41683	0.00123773
8.47695	0.00150296
8.53707	0.00159137
8.59719	0.00159137
8.65731	0.0018566
8.71743	0.0018566
8.77756	0.00159137
8.83768	0.00176819
8.8978	0.00212183
8.95792	0.00176819
9.01804	0.00194501
9.07816	0.00203342
9.13828	0.000972505
9.1984	0.00167978
9.25852	0.00203342
9.31864	0.00141455
9.37876	0.00176819
9.43888	0.00167978
9.499	0.00238706
9.55912	0.00176819
9.61924	0.00247547
9.67936	0.00132614
9.73948	0.000884095
9.7996	0.0018566
9.85972	0.00265229
9.91984	0.00132614
9.97996	0.00167978
10.0401	0.00221024
10.1002	0.0018566
10.1603	0.00132614
10.2204	0.00212183
10.2806	0.00167978
10.3407	0.00159137
10.4008	0.00150296
10.4609	0.00212183
10.521	0.0018566
10.5812	0.00203342
10.6413	0.00167978
10.7014	0.00256388
10.7615	0.00247547
10.8216	0.00194501
10.8818	0.00247547
10.9419	0.00106091
11.002	0.00212183
11.0621	0.0028291
11.1222	0.00203342
11.1824	0.00194501
11.2425	0.00176819
11.3026	0.0018566
11.3627	0.00176819
11.4228	0.00221024
11.483	0.00247547
11.5431	0.00221024
11.6032	0.00212183
11.6633	0.00344797
11.7234	0.00159137
11.7836	0.00159137
11.8437	0.00274069
11.9038	0.00256388
11.9639	0.00176819
12.024	0.00212183
12.0842	0.00291751
12.1443	0.00265229
12.2044	0.00194501
12.2645	0.00265229
12.3246	0.00150296
12.3848	0.0028291
12.4449	0.00265229
12.505	0.00203342
12.5651	0.00265229
12.6253	0.00203342
12.6854	0.00238706
12.7455	0.00203342
12.8056	0.00274069
12.8657	0.00265229
12.9259	0.00238706
12.986	0.00194501
13.0461	0.00247547
13.1062	0.00300592
13.1663	0.00194501
13.2265	0.00265229
13.2866	0.00256388
13.3467	0.00344797
13.4068	0.00335956
13.4669	0.00335956
13.5271	0.00150296
13.5872	0.00194501
13.6473	0.00291751
13.7074	0.00335956
13.7675	0.00238706
13.8277	0.0018566
13.8878	0.00300592
13.9479	0.00318274
14.008	0.00212183
14.0681	0.00247547
14.1283	0.00309433
14.1884	0.00397843
14.2485	0.00212183
14.3086	0.00221024
14.3687	0.00265229
14.4289	0.00353638
14.489	0.0018566
14.5491	0.00415525
14.6092	0.00212183
14.6693	0.00203342
14.7295	0.00229865
14.7896	0.0028291
14.8497	0.00265229
14.9098	0.00291751
14.9699	0.00265229
15.0301	0.00406684
15.0902	0.00167978
15.1503	0.00300592
15.2104	0.00362479
15.2705	0.00256388
15.3307	0.00256388
15.3908	0.00221024
15.4509	0.00327115
15.511	0.00344797
15.5711	0.0037132
15.6313	0.0028291
15.6914	0.00274069
15.7515	0.0037132
15.8116	0.00344797
15.8717	0.00353638
15.9319	0.00327115
15.992	0.00318274
16.0521	0.00424366
16.1122	0.0028291
16.1723	0.00256388
16.2325	0.00274069
16.2926	0.00353638
16.3527	0.00291751
16.4128	0.0037132
16.4729	0.00274069
16.5331	0.00274069
16.5932	0.00335956
16.6533	0.00344797
16.7134	0.00362479
16.7735	0.00318274
16.8337	0.00300592
16.8938	0.00327115
16.9539	0.00442048
17.014	0.00353638
17.0741	0.00344797
17.1343	0.00353638
17.1944	0.00353638
17.2545	0.00353638
17.3146	0.00433207
17.3747	0.00274069
17.4349	0.0028291
17.495	0.00291751
17.5551	0.00353638
17.6152	0.00362479
17.6754	0.00212183
17.7355	0.00309433
17.7956	0.00344797
17.8557	0.00318274
17.9158	0.00380161
17.976	0.00274069
18.0361	0.00397843
18.0962	0.00344797
18.1563	0.00309433
18.2164	0.0037132
18.2766	0.00318274
18.3367	0.00300592
18.3968	0.00309433
18.4569	0.00291751
18.517	0.00450889
18.5772	0.00238706
18.6373	0.00309433
18.6974	0.00274069
18.7575	0.00327115
18.8176	0.00309433
18.8778	0.00318274
18.9379	0.00265229
18.998	0.00274069
19.0581	0.00238706
19.1182	0.00406684
19.1784	0.00353638
19.2385	0.00300592
19.2986	0.00327115
19.3587	0.00238706
19.4188	0.00291751
19.479	0.00291751
19.5391	0.00318274
19.5992	0.00353638
19.6593	0.00256388
19.7194	0.00397843
19.7796	0.00362479
19.8397	0.0028291
19.8998	0.00238706
19.9599	0.00362479
20.02	0.00424366
20.0802	0.00265229
20.1403	0.00344797
